Elapsed [0:04:20], Iteration [660/5000], D/loss_real: -0.1413, D/loss_fake: -0.0938, D/loss_cls: 1.8979, D/loss_gp: 0.0015, G/loss_fake: 0.0731, G/loss_rec: 0.2354, G/loss_cls: 0.7698
Elapsed [0:04:24], Iteration [670/5000], D/loss_real: -0.1239, D/loss_fake: -0.0570, D/loss_cls: 1.9196, D/loss_gp: 0.0014, G/loss_fake: 0.0739, G/loss_rec: 0.2647, G/loss_cls: 0.8073
Elapsed [0:04:27], Iteration [680/5000], D/loss_real: -0.2060, D/loss_fake: -0.0081, D/loss_cls: 1.8964, D/loss_gp: 0.0017, G/loss_fake: 0.0095, G/loss_rec: 0.2700, G/loss_cls: 0.9796
Elapsed [0:04:31], Iteration [690/5000], D/loss_real: -0.1058, D/loss_fake: -0.0898, D/loss_cls: 2.1695, D/loss_gp: 0.0022, G/loss_fake: 0.0813, G/loss_rec: 0.2313, G/loss_cls: 0.6405
Elapsed [0:04:34], Iteration [700/5000], D/loss_real: -0.1264, D/loss_fake: -0.1017, D/loss_cls: 2.1161, D/loss_gp: 0.0023, G/loss_fake: 0.0872, G/loss_rec: 0.2505, G/loss_cls: 0.6511
Elapsed [0:04:38], Iteration [710/5000], D/loss_real: -0.1415, D/loss_fake: -0.0252, D/loss_cls: 1.8167, D/loss_gp: 0.0012, G/loss_fake: 0.0268, G/loss_rec: 0.2577, G/loss_cls: 0.5747
Elapsed [0:04:41], Iteration [720/5000], D/loss_real: -0.0869, D/loss_fake: -0.1164, D/loss_cls: 2.1317, D/loss_gp: 0.0016, G/loss_fake: 0.0963, G/loss_rec: 0.2372, G/loss_cls: 0.5705
Elapsed [0:04:45], Iteration [730/5000], D/loss_real: -0.2105, D/loss_fake: -0.0512, D/loss_cls: 2.5899, D/loss_gp: 0.0019, G/loss_fake: 0.0736, G/loss_rec: 0.2603, G/loss_cls: 0.6004
Elapsed [0:04:48], Iteration [740/5000], D/loss_real: -0.1706, D/loss_fake: -0.0016, D/loss_cls: 2.8088, D/loss_gp: 0.0007, G/loss_fake: 0.0140, G/loss_rec: 0.2362, G/loss_cls: 0.8723
Elapsed [0:04:51], Iteration [750/5000], D/loss_real: -0.1397, D/loss_fake: -0.1213, D/loss_cls: 1.9419, D/loss_gp: 0.0020, G/loss_fake: 0.1406, G/loss_rec: 0.2604, G/loss_cls: 0.8202
Elapsed [0:04:55], Iteration [760/5000], D/loss_real: -0.1522, D/loss_fake: -0.0327, D/loss_cls: 2.0300, D/loss_gp: 0.0035, G/loss_fake: 0.0058, G/loss_rec: 0.2403, G/loss_cls: 0.7296
Elapsed [0:04:58], Iteration [770/5000], D/loss_real: -0.1874, D/loss_fake: -0.0274, D/loss_cls: 1.8813, D/loss_gp: 0.0008, G/loss_fake: 0.0151, G/loss_rec: 0.2499, G/loss_cls: 0.6652
Elapsed [0:05:02], Iteration [780/5000], D/loss_real: -0.2090, D/loss_fake: -0.0636, D/loss_cls: 2.4461, D/loss_gp: 0.0027, G/loss_fake: 0.0786, G/loss_rec: 0.2391, G/loss_cls: 0.5308
Elapsed [0:05:05], Iteration [790/5000], D/loss_real: -0.2234, D/loss_fake: -0.0803, D/loss_cls: 1.9090, D/loss_gp: 0.0014, G/loss_fake: 0.0898, G/loss_rec: 0.2472, G/loss_cls: 0.5927
Elapsed [0:05:09], Iteration [800/5000], D/loss_real: -0.1165, D/loss_fake: -0.0654, D/loss_cls: 1.8869, D/loss_gp: 0.0019, G/loss_fake: 0.0767, G/loss_rec: 0.2466, G/loss_cls: 0.6777
Elapsed [0:05:12], Iteration [810/5000], D/loss_real: -0.0915, D/loss_fake: -0.0486, D/loss_cls: 1.9675, D/loss_gp: 0.0006, G/loss_fake: 0.0715, G/loss_rec: 0.2163, G/loss_cls: 0.7834
Elapsed [0:05:16], Iteration [820/5000], D/loss_real: -0.1567, D/loss_fake: -0.0644, D/loss_cls: 2.3994, D/loss_gp: 0.0010, G/loss_fake: 0.0809, G/loss_rec: 0.2554, G/loss_cls: 0.7421
Elapsed [0:05:19], Iteration [830/5000], D/loss_real: -0.0491, D/loss_fake: -0.1225, D/loss_cls: 2.5963, D/loss_gp: 0.0023, G/loss_fake: 0.1143, G/loss_rec: 0.2692, G/loss_cls: 0.8963
Elapsed [0:05:23], Iteration [840/5000], D/loss_real: -0.2877, D/loss_fake: -0.0114, D/loss_cls: 2.0891, D/loss_gp: 0.0012, G/loss_fake: -0.0090, G/loss_rec: 0.2486, G/loss_cls: 0.6922
Elapsed [0:05:26], Iteration [850/5000], D/loss_real: -0.1560, D/loss_fake: -0.0381, D/loss_cls: 1.9871, D/loss_gp: 0.0020, G/loss_fake: 0.0648, G/loss_rec: 0.2283, G/loss_cls: 0.3247
Elapsed [0:05:30], Iteration [860/5000], D/loss_real: -0.2118, D/loss_fake: -0.0118, D/loss_cls: 1.5515, D/loss_gp: 0.0030, G/loss_fake: -0.0006, G/loss_rec: 0.2460, G/loss_cls: 0.4945
Elapsed [0:05:33], Iteration [870/5000], D/loss_real: -0.1026, D/loss_fake: -0.0903, D/loss_cls: 2.1806, D/loss_gp: 0.0018, G/loss_fake: 0.1047, G/loss_rec: 0.2279, G/loss_cls: 0.4505
Elapsed [0:05:37], Iteration [880/5000], D/loss_real: -0.2378, D/loss_fake: -0.0503, D/loss_cls: 1.9076, D/loss_gp: 0.0032, G/loss_fake: 0.0708, G/loss_rec: 0.2693, G/loss_cls: 0.4183
Elapsed [0:05:40], Iteration [890/5000], D/loss_real: -0.1544, D/loss_fake: -0.1126, D/loss_cls: 1.9455, D/loss_gp: 0.0023, G/loss_fake: 0.1118, G/loss_rec: 0.2301, G/loss_cls: 0.5157
Elapsed [0:05:44], Iteration [900/5000], D/loss_real: -0.1797, D/loss_fake: -0.0220, D/loss_cls: 1.4835, D/loss_gp: 0.0017, G/loss_fake: 0.0376, G/loss_rec: 0.2463, G/loss_cls: 0.2954
Elapsed [0:05:47], Iteration [910/5000], D/loss_real: -0.1350, D/loss_fake: -0.0210, D/loss_cls: 2.4088, D/loss_gp: 0.0012, G/loss_fake: 0.0585, G/loss_rec: 0.2448, G/loss_cls: 0.4826
Elapsed [0:05:50], Iteration [920/5000], D/loss_real: -0.0432, D/loss_fake: -0.1463, D/loss_cls: 1.8150, D/loss_gp: 0.0022, G/loss_fake: 0.1586, G/loss_rec: 0.2518, G/loss_cls: 0.7024
Elapsed [0:05:54], Iteration [930/5000], D/loss_real: -0.1742, D/loss_fake: -0.0791, D/loss_cls: 1.7144, D/loss_gp: 0.0030, G/loss_fake: 0.0806, G/loss_rec: 0.2550, G/loss_cls: 0.7541
Elapsed [0:05:57], Iteration [940/5000], D/loss_real: -0.1317, D/loss_fake: -0.1287, D/loss_cls: 2.0728, D/loss_gp: 0.0029, G/loss_fake: 0.1656, G/loss_rec: 0.2397, G/loss_cls: 0.4996
Elapsed [0:06:01], Iteration [950/5000], D/loss_real: -0.1507, D/loss_fake: -0.0537, D/loss_cls: 2.7038, D/loss_gp: 0.0023, G/loss_fake: 0.0353, G/loss_rec: 0.2215, G/loss_cls: 0.8286
Elapsed [0:06:04], Iteration [960/5000], D/loss_real: -0.1192, D/loss_fake: -0.1323, D/loss_cls: 1.7155, D/loss_gp: 0.0005, G/loss_fake: 0.1346, G/loss_rec: 0.2322, G/loss_cls: 0.3895
Elapsed [0:06:08], Iteration [970/5000], D/loss_real: -0.1839, D/loss_fake: -0.0875, D/loss_cls: 1.8077, D/loss_gp: 0.0018, G/loss_fake: 0.0757, G/loss_rec: 0.2299, G/loss_cls: 0.4032
Elapsed [0:06:11], Iteration [980/5000], D/loss_real: -0.0540, D/loss_fake: -0.1004, D/loss_cls: 2.0314, D/loss_gp: 0.0029, G/loss_fake: 0.1316, G/loss_rec: 0.2385, G/loss_cls: 0.4599
Elapsed [0:06:15], Iteration [990/5000], D/loss_real: -0.0925, D/loss_fake: -0.1102, D/loss_cls: 1.7191, D/loss_gp: 0.0015, G/loss_fake: 0.1451, G/loss_rec: 0.2054, G/loss_cls: 0.5140
Elapsed [0:06:18], Iteration [1000/5000], D/loss_real: -0.1509, D/loss_fake: -0.1555, D/loss_cls: 2.1138, D/loss_gp: 0.0023, G/loss_fake: 0.1631, G/loss_rec: 0.2415, G/loss_cls: 0.5201
Elapsed [0:06:22], Iteration [1010/5000], D/loss_real: -0.0314, D/loss_fake: -0.2024, D/loss_cls: 1.7638, D/loss_gp: 0.0008, G/loss_fake: 0.1927, G/loss_rec: 0.2239, G/loss_cls: 0.4816
Elapsed [0:06:25], Iteration [1020/5000], D/loss_real: -0.1223, D/loss_fake: -0.1907, D/loss_cls: 1.7442, D/loss_gp: 0.0014, G/loss_fake: 0.2190, G/loss_rec: 0.2199, G/loss_cls: 0.3066
Elapsed [0:06:29], Iteration [1030/5000], D/loss_real: 0.0336, D/loss_fake: -0.2094, D/loss_cls: 1.9796, D/loss_gp: 0.0011, G/loss_fake: 0.2018, G/loss_rec: 0.2450, G/loss_cls: 0.5470
Elapsed [0:06:32], Iteration [1040/5000], D/loss_real: -0.1636, D/loss_fake: -0.0549, D/loss_cls: 1.7572, D/loss_gp: 0.0017, G/loss_fake: 0.0360, G/loss_rec: 0.2503, G/loss_cls: 0.3997
Elapsed [0:06:36], Iteration [1050/5000], D/loss_real: -0.2474, D/loss_fake: -0.0513, D/loss_cls: 1.6968, D/loss_gp: 0.0021, G/loss_fake: 0.0860, G/loss_rec: 0.2275, G/loss_cls: 0.4266
Elapsed [0:06:39], Iteration [1060/5000], D/loss_real: -0.0979, D/loss_fake: -0.0797, D/loss_cls: 1.9205, D/loss_gp: 0.0006, G/loss_fake: 0.0678, G/loss_rec: 0.2055, G/loss_cls: 0.4779
Elapsed [0:06:43], Iteration [1070/5000], D/loss_real: -0.1727, D/loss_fake: -0.0700, D/loss_cls: 1.6870, D/loss_gp: 0.0022, G/loss_fake: 0.0645, G/loss_rec: 0.2133, G/loss_cls: 0.3162
Elapsed [0:06:47], Iteration [1080/5000], D/loss_real: -0.0911, D/loss_fake: -0.0478, D/loss_cls: 1.8384, D/loss_gp: 0.0009, G/loss_fake: 0.0823, G/loss_rec: 0.2220, G/loss_cls: 0.4613
Elapsed [0:06:50], Iteration [1090/5000], D/loss_real: -0.1893, D/loss_fake: -0.0022, D/loss_cls: 1.6738, D/loss_gp: 0.0024, G/loss_fake: 0.0276, G/loss_rec: 0.2262, G/loss_cls: 0.2784
Elapsed [0:06:54], Iteration [1100/5000], D/loss_real: -0.0923, D/loss_fake: -0.1148, D/loss_cls: 1.7657, D/loss_gp: 0.0023, G/loss_fake: 0.0878, G/loss_rec: 0.2192, G/loss_cls: 0.4606
Elapsed [0:06:57], Iteration [1110/5000], D/loss_real: -0.1172, D/loss_fake: -0.0710, D/loss_cls: 2.1129, D/loss_gp: 0.0031, G/loss_fake: 0.0911, G/loss_rec: 0.2167, G/loss_cls: 0.2855
Elapsed [0:07:01], Iteration [1120/5000], D/loss_real: -0.0502, D/loss_fake: -0.1300, D/loss_cls: 1.7495, D/loss_gp: 0.0026, G/loss_fake: 0.1413, G/loss_rec: 0.2217, G/loss_cls: 0.4804
Elapsed [0:07:04], Iteration [1130/5000], D/loss_real: -0.0461, D/loss_fake: -0.1722, D/loss_cls: 1.6591, D/loss_gp: 0.0014, G/loss_fake: 0.1507, G/loss_rec: 0.2333, G/loss_cls: 0.2373
Elapsed [0:07:08], Iteration [1140/5000], D/loss_real: -0.1542, D/loss_fake: -0.0933, D/loss_cls: 2.4825, D/loss_gp: 0.0028, G/loss_fake: 0.0517, G/loss_rec: 0.2138, G/loss_cls: 0.2840
Elapsed [0:07:11], Iteration [1150/5000], D/loss_real: -0.1322, D/loss_fake: -0.1188, D/loss_cls: 1.8061, D/loss_gp: 0.0008, G/loss_fake: 0.1362, G/loss_rec: 0.2058, G/loss_cls: 0.2824
Elapsed [0:07:15], Iteration [1160/5000], D/loss_real: -0.1619, D/loss_fake: -0.1046, D/loss_cls: 1.8585, D/loss_gp: 0.0024, G/loss_fake: 0.1285, G/loss_rec: 0.2185, G/loss_cls: 0.3750
Elapsed [0:07:18], Iteration [1170/5000], D/loss_real: -0.1597, D/loss_fake: -0.0907, D/loss_cls: 1.5893, D/loss_gp: 0.0033, G/loss_fake: 0.0942, G/loss_rec: 0.2005, G/loss_cls: 0.2661
